144,Central Michigan,Miami (OH),Central Michigan,17,757,2019-12-22 00:00:00,1
145,Florida Atlantic,UAB,Florida Atlantic,17,265,2019-12-22 01:30:00,1
146,Memphis,Cincinnati,Memphis,17,56,2019-12-28 22:00:00,1
147,LSU,Georgia,LSU,17,515,2019-12-29 02:20:00,1
148,Boise State,Hawai'i,Boise State,17,647,2019-12-22 05:30:00,1
149,Clemson,Virginia,Virginia,17,756,2019-12-29 06:20:00,1
150,Wisconsin,Ohio State,Ohio State,17,635,2020-01-02 03:10:00,1
151,Charlotte,Buffalo,Buffalo,17,729,2019-12-21 00:00:00,1
152,Kansas State,Utah State,Utah State,17,455,2020-01-01 01:45:00,1
153,San Diego State,Central Michigan,San Diego State,17,757,2019-12-22 00:00:00,1
154,Georgia Southern,Liberty,Liberty,17,557,2019-12-22 00:30:00,1
155,Florida Atlantic,SMU,Florida Atlantic,17,265,2019-12-22 01:30:00,1
156,Arkansas State,Florida International,Arkansas State,17,196,2019-12-22 03:30:00,1
157,Washington,Boise State,Washington,17,647,2019-12-22 05:30:00,1
158,UAB,Appalachian State,Appalachian State,17,516,2019-12-22 07:00:00,1
159,Marshall,UCF,UCF,17,599,2019-12-24 00:30:00,1
160,BYU,Hawai'i,Hawai'i,17,22,2019-12-25 06:00:00,1
161,Miami,Louisiana Tech,Louisiana Tech,17,370,2019-12-27 02:00:00,1
162,Eastern Michigan,Pittsburgh,Pittsburgh,17,278,2019-12-27 06:00:00,1
163,Temple,North Carolina,North Carolina,17,540,2019-12-27 22:00:00,1
164,Wake Forest,Michigan State,Michigan State,17,813,2019-12-28 01:20:00,1
165,Texas A&M,Oklahoma State,Texas A&M,17,548,2019-12-28 04:45:00,1
166,Iowa,USC,Iowa,17,589,2019-12-28 06:00:00,1
167,Washington State,Air Force,Air Force,17,167,2019-12-28 08:15:00,1
168,Penn State,Memphis,Penn State,17,56,2019-12-28 22:00:00,1
169,Iowa State,Notre Dame,Notre Dame,17,142,2019-12-28 22:00:00,1
170,LSU,Oklahoma,LSU,17,515,2019-12-29 02:20:00,1
171,Ohio State,Clemson,Clemson,17,756,2019-12-29 06:20:00,1
172,Western Michigan,Western Kentucky,Western Kentucky,17,308,2019-12-30 22:30:00,1
173,Louisville,Mississippi State,Louisville,17,545,2019-12-31 02:00:00,1
174,Illinois,California,California,17,452,2019-12-31 02:00:00,1
175,Virginia,Florida,Florida,17,335,2019-12-31 06:00:00,1
176,Kentucky,Virginia Tech,Kentucky,17,65,2019-12-31 22:00:00,1
177,Arizona State,Florida State,Arizona State,17,715,2020-01-01 00:00:00,1
178,Kansas State,Navy,Navy,17,455,2020-01-01 01:45:00,1
179,Georgia State,Wyoming,Wyoming,17,47,2020-01-01 02:30:00,1
180,Texas,Utah,Texas,17,11,2020-01-01 05:30:00,1
181,Auburn,Minnesota,Minnesota,17,599,2020-01-01 23:00:00,1
182,Alabama,Michigan,Alabama,17,142,2020-01-01 23:00:00,1
183,Wisconsin,Oregon,Oregon,17,635,2020-01-02 03:10:00,1
184,Baylor,Georgia,Georgia,17,516,2020-01-02 06:45:00,1
185,Cincinnati,Boston College,Cincinnati,17,447,2020-01-03 01:00:00,1
186,Texas,Indiana,Texas,17,11,2020-01-01 05:30:00,1
187,Nevada,Ohio,Ohio,17,14,2020-01-04 01:30:00,1
188,Tulane,Southern Mississippi,Tulane,17,37,2020-01-04 21:30:00,1
189,Miami,Louisiana,Louisiana,17,370,2019-12-27 02:00:00,1
190,Ohio State,Northwestern,Ohio State,33,466,2020-12-19 22:00:00,1
191,Iowa State,Oklahoma,Oklahoma,33,56,2020-12-19 22:00:00,1
192,Utah,Washington State,Utah,33,611,2020-12-19 23:30:00,1
193,Army,Air Force,Army,33,92,2020-12-20 01:00:00,1
194,Notre Dame,Clemson,Clemson,33,65,2020-12-20 02:00:00,1
195,Wisconsin,Minnesota,Wisconsin,33,143,2020-12-20 02:00:00,1
196,San José State,Boise State,San José State,33,647,2020-12-20 02:40:00,1
197,Florida,Alabama,Alabama,33,515,2020-12-20 06:00:00,1
198,Cincinnati,Tulsa,Cincinnati,33,544,2020-12-20 06:00:00,1
199,Colorado,Utah,Utah,32,277,2020-12-12 22:00:00,1
200,Miami,North Carolina,North Carolina,32,335,2020-12-13 01:30:00,1
201,Iowa,Wisconsin,Iowa,32,425,2020-12-13 01:30:00,1
202,Memphis,Houston,Memphis,32,455,2020-12-13 01:30:00,1
203,Florida State,Duke,Florida State,32,99,2020-12-13 02:00:00,1
204,UCLA,USC,USC,32,635,2020-12-13 05:30:00,1
205,Virginia Tech,Virginia,Virginia Tech,32,438,2020-12-13 06:00:00,1
206,BYU,San Diego State,BYU,32,441,2020-12-13 08:00:00,1
207,Mississippi State,Auburn,Auburn,32,210,2020-12-13 05:30:00,1
208,Baylor,Oklahoma State,Oklahoma State,32,493,2020-12-13 01:30:00,1
209,TCU,Oklahoma State,TCU,31,37,2020-12-05 22:00:00,1
210,Rutgers,Penn State,Penn State,31,675,2020-12-05 22:00:00,1
211,Tulane,Memphis,Tulane,31,78,2020-12-05 22:00:00,1
212,Missouri,Arkansas,Missouri,31,264,2020-12-05 22:00:00,1
213,Western Michigan,Eastern Michigan,Eastern Michigan,31,773,2020-12-06 00:00:00,1
214,Iowa State,West Virginia,Iowa State,31,380,2020-12-06 01:30:00,1
215,Wisconsin,Indiana,Indiana,31,143,2020-12-06 01:30:00,1
216,Coastal Carolina,BYU,Coastal Carolina,31,118,2020-12-06 03:30:00,1
217,Arizona State,UCLA,UCLA,31,716,2020-12-06 08:30:00,1
218,Utah,Oregon State,Utah,31,611,2020-12-06 08:30:00,1
219,Texas,Iowa State,Iowa State,30,206,2020-11-27 22:00:00,1
220,North Carolina,Notre Dame,Notre Dame,30,416,2020-11-28 01:30:00,1
221,Michigan,Penn State,Penn State,30,521,2020-11-28 22:00:00,1
222,Toledo,Ball State,Ball State,30,312,2020-11-28 22:00:00,1
223,East Carolina,SMU,East Carolina,30,227,2020-11-28 22:00:00,1
224,Alabama,Auburn,Alabama,30,123,2020-11-29 01:30:00,1
225,Ole Miss,Mississippi State,Ole Miss,30,765,2020-11-29 02:00:00,1
226,Purdue,Rutgers,Rutgers,30,637,2020-11-29 02:00:00,1
227,Ohio State,Indiana,Ohio State,29,553,2020-11-21 22:00:00,1
228,Coastal Carolina,Appalachian State,Coastal Carolina,29,118,2020-11-21 22:00:00,1
229,UCF,Cincinnati,Cincinnati,29,116,2020-11-22 01:30:00,1
230,Northwestern,Wisconsin,Northwestern,29,642,2020-11-22 01:30:00,1
231,Nevada,San Diego State,Nevada,29,473,2020-11-22 01:30:00,1
232,Iowa State,Kansas State,Iowa State,29,380,2020-11-22 02:00:00,1
233,Oklahoma,Oklahoma State,Oklahoma,29,300,2020-11-22 05:30:00,1
234,NC State,Liberty,NC State,29,154,2020-11-22 05:30:00,1
235,Rutgers,Michigan,Michigan,29,675,2020-11-22 05:30:00,1
236,Utah,USC,USC,29,611,2020-11-22 08:30:00,1
237,Virginia Tech,Miami,Miami,28,438,2020-11-14 22:00:00,1
238,Nebraska,Penn State,Nebraska,28,500,2020-11-14 22:00:00,1
239,Tulane,Army,Tulane,28,78,2020-11-14 22:00:00,1
240,UT San Antonio,UTEP,UT San Antonio,28,11,2020-11-15 01:00:00,1
241,Virginia,Louisville,Virginia,28,660,2020-11-15 01:30:00,1
242,San Diego State,Hawai'i,San Diego State,28,589,2020-11-15 02:00:00,1
243,Purdue,Northwestern,Northwestern,28,637,2020-11-15 03:00:00,1
244,Florida,Arkansas,Florida,28,77,2020-11-15 05:00:00,1
245,Tulsa,SMU,Tulsa,28,679,2020-11-15 05:00:00,1
246,Michigan,Wisconsin,Wisconsin,28,521,2020-11-15 05:30:00,1
