54,Duke,ACC,fbs,#001A57,#f1f2f3,NULL,Blue Devils,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/150.png,@DukeFootball
55,Duquesne,NEC,fcs,#002D62,#b90b2e,NULL,Dukes,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2184.png,@DuqFB
56,East Carolina,American Athletic,fbs,#4b1869,#f0907b,NULL,Pirates,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/151.png,@ECUPiratesFB
57,Eastern Illinois,Big South-OVC,fcs,#000000,#bebab9,NULL,Panthers,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2197.png,@EIUPantherFB
58,Eastern Kentucky,UAC,fcs,#660819,#f0f0f0,NULL,Colonels,http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2198.png,@EKUFootball
59,Eastern Michigan,Mid-American,fbs,#00331b,#f0f0f0,NULL,Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2199.png,@EMUFB
60,Eastern Washington,Big Sky,fcs,#a10022,#abb4bc,NULL,Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/331.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/331.png,@EWUFootball
61,East Tennessee State,Southern,fcs,#002d61,#ffc423,NULL,Buccaneers,http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2193.png,@ETSUFootball
62,Elon,CAA,fcs,#020303,#b59a57,NULL,Phoenix,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2210.png,@ElonFootball
63,Florida,SEC,fbs,#0021A5,#0021a5,NULL,Gators,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png,@GatorsFB
64,Florida A&M,SWAC,fcs,#F89728,#00843d,NULL,Rattlers,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/50.png,@FAMUAthletics
65,Florida Atlantic,American Athletic,fbs,#004B85,#bb2f4c,NULL,Owls,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png,@FAUFootball
66,Florida International,Conference USA,fbs,#001538,#c5960c,NULL,Golden Panthers,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2229.png,@FIUFootball
67,Florida State,ACC,fbs,#782F40,#ceb888,NULL,Seminoles,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png,@FSUFootball
68,Fordham,Patriot,fcs,#830032,#909090,NULL,Rams,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2230.png,@FordhamFootball
